 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 4.95197E+02 3.66843E+02 2.71788E+02 2.00428E+02 1.48464E+02 1.09960E+02
 8.14871E+01 6.04071E+01 4.48245E+01 3.33216E+01 2.47974E+01 1.84873E+01
 1.38208E+01 1.03592E+01 7.79239E+00 5.88048E+00 4.45754E+00 3.39110E+00
 2.59065E+00 1.98628E+00 1.52887E+00 1.18020E+00 9.14754E-01 7.09196E-01
 5.51821E-01 4.29006E-01 3.34035E-01 2.59955E-01 2.02176E-01 1.56970E-01
 1.21639E-01 9.39732E-02 7.23657E-02 5.54942E-02 4.23739E-02 3.21817E-02
 2.43087E-02 1.82437E-02 1.35979E-02 1.00713E-02 7.38631E-03 5.36708E-03
 3.86361E-03 2.75218E-03 1.93999E-03 1.35143E-03 9.30812E-04 6.33179E-04
 4.25826E-04 2.82725E-04 1.86606E-04 1.21882E-04 7.93509E-05 5.16002E-05
 3.37384E-05 2.21872E-05 1.47417E-05 9.81330E-06 6.49743E-06 4.20198E-06
 2.60218E-06 1.48921E-06 7.53515E-07 3.08314E-07 8.16299E-08 5.92726E-09
 0.00000E+00 7.25169E+05 5.50520E+05 4.11042E+05 3.06737E+05 2.28817E+05
 1.70586E+05 1.27125E+05 9.46755E+04 7.04798E+04 5.24325E+04 3.89892E+04
 2.89723E+04 2.15189E+04 1.59712E+04 1.18480E+04 8.78254E+03 6.50697E+03
 4.81718E+03 3.56441E+03 2.63532E+03 1.94747E+03 1.43801E+03 1.06133E+03
 7.82728E+02 5.77024E+02 4.25093E+02 3.13161E+02 2.29584E+02 1.69052E+02
 1.24452E+02 9.16544E+01 6.75154E+01 4.97749E+01 3.67592E+01 2.71720E+01
 2.01200E+01 1.49375E+01 1.11182E+01 8.30444E+00 6.22271E+00 4.68356E+00
 3.53793E+00 2.68381E+00 2.04339E+00 1.56198E+00 1.19755E+00 9.21991E-01
 7.10083E-01 5.48938E-01 4.24048E-01 3.28115E-01 2.53790E-01 1.96199E-01
 1.51437E-01 1.16674E-01 8.96288E-02 6.86371E-02 5.23490E-02 3.97585E-02
 3.00374E-02 2.25724E-02 1.68557E-02 1.25013E-02 9.21470E-03 6.72637E-03
 4.86556E-03 3.48758E-03 2.47443E-03 1.73790E-03 1.20692E-03 8.29289E-04
 5.63312E-04 3.78782E-04 2.51892E-04 1.66861E-04 1.09685E-04 7.20738E-05
 4.74480E-05 3.14716E-05 2.10197E-05 1.41620E-05 9.53366E-06 6.35077E-06
 4.11213E-06 2.53490E-06 1.43706E-06 7.16078E-07 2.86330E-07 7.36829E-08
 5.42427E-09 0.00000E+00 9.24661E+05 6.99903E+05 5.20769E+05 3.87258E+05
 2.87851E+05 2.13819E+05 1.58754E+05 1.17788E+05 8.73503E+04 6.47308E+04
 4.79435E+04 3.54828E+04 2.62461E+04 1.93984E+04 1.43290E+04 1.05756E+04
 7.80067E+03 5.74888E+03 4.23419E+03 3.11582E+03 2.29148E+03 1.68373E+03
 1.23646E+03 9.07221E+02 6.65296E+02 4.87497E+02 3.57165E+02 2.60359E+02
 1.90614E+02 1.39506E+02 1.02126E+02 7.47703E+01 5.47788E+01 4.01983E+01
 2.95211E+01 2.17157E+01 1.60141E+01 1.18391E+01 8.78241E+00 6.53572E+00
 4.88521E+00 3.66485E+00 2.76095E+00 2.08779E+00 1.58508E+00 1.20712E+00
 9.23221E-01 7.06382E-01 5.42572E-01 4.16477E-01 3.20253E-01 2.46201E-01
 1.89189E-01 1.45168E-01 1.11195E-01 8.49337E-02 6.46770E-02 4.90574E-02
 3.70563E-02 2.78471E-02 2.08168E-02 1.54651E-02 1.14120E-02 8.37042E-03
 6.08063E-03 4.37811E-03 3.12433E-03 2.20760E-03 1.54471E-03 1.06935E-03
 7.32929E-04 4.97107E-04 3.34191E-04 2.22570E-04 1.47945E-04 9.78300E-05
 6.48234E-05 4.31335E-05 2.89504E-05 1.95692E-05 1.33143E-05 9.02430E-06
 6.02391E-06 3.89200E-06 2.38222E-06 1.33531E-06 6.54423E-07 2.55596E-07
 6.39714E-08 4.77284E-09 0.00000E+00 1.16559E+06 8.79701E+05 6.52300E+05
 4.83384E+05 3.58030E+05 2.64996E+05 1.96033E+05 1.44909E+05 1.07057E+05
 7.90310E+04 5.83067E+04 4.29817E+04 3.16645E+04 2.33072E+04 1.71442E+04
 1.25995E+04 9.25318E+03 6.78924E+03 4.97786E+03 3.64626E+03 2.66899E+03
 1.95175E+03 1.42627E+03 1.04127E+03 7.59707E+02 5.53772E+02 4.03558E+02
 2.92555E+02 2.12992E+02 1.55000E+02 1.12808E+02 8.21020E+01 5.97849E+01
 4.36020E+01 3.18187E+01 2.32561E+01 1.70384E+01 1.25135E+01 9.22085E+00
 6.81608E+00 5.06042E+00 3.77074E+00 2.82155E+00 2.11932E+00 1.59829E+00
 1.20913E+00 9.18730E-01 6.98398E-01 5.33026E-01 4.06576E-01 3.10704E-01
 2.37409E-01 1.81340E-01 1.38325E-01 1.05337E-01 7.99994E-02 6.05757E-02
 4.56920E-02 3.43251E-02 2.56560E-02 1.90772E-02 1.40992E-02 1.03507E-02
 7.55412E-03 5.46079E-03 3.91338E-03 2.78021E-03 1.95632E-03 1.36375E-03
 9.41093E-04 6.43452E-04 4.35806E-04 2.92954E-04 1.95421E-04 1.30355E-04
 8.67002E-05 5.79002E-05 3.88969E-05 2.63692E-05 1.79934E-05 1.23259E-05
 8.38563E-06 5.59390E-06 3.59806E-06 2.18301E-06 1.20831E-06 5.81901E-07
 2.21923E-07 5.40573E-08 4.08675E-09 0.00000E+00 1.45418E+06 1.09434E+06
 8.08683E+05 5.97201E+05 4.40777E+05 3.25081E+05 2.39610E+05 1.76472E+05
 1.29888E+05 9.55224E+04 7.02016E+04 5.15479E+04 3.78238E+04 2.77282E+04
 2.03121E+04 1.48652E+04 1.08704E+04 7.94123E+03 5.79669E+03 4.22692E+03
 3.07977E+03 2.24160E+03 1.63023E+03 1.18438E+03 8.59801E+02 6.23537E+02
 4.52032E+02 3.25931E+02 2.36002E+02 1.70795E+02 1.23598E+02 8.94358E+01
 6.47399E+01 4.69326E+01 3.40386E+01 2.47236E+01 1.79984E+01 1.31338E+01
 9.61498E+00 7.06092E+00 5.20763E+00 3.85482E+00 2.86537E+00 2.13808E+00
 1.60184E+00 1.20393E+00 9.08883E-01 6.86491E-01 5.20634E-01 3.94645E-01
 2.99730E-01 2.27639E-01 1.72837E-01 1.31063E-01 9.92260E-02 7.49267E-02
 5.64137E-02 4.23158E-02 3.16138E-02 2.35017E-02 1.73820E-02 1.27792E-02
 9.33322E-03 6.77732E-03 4.87517E-03 3.47729E-03 2.45937E-03 1.72345E-03
 1.19700E-03 8.23508E-04 5.61778E-04 3.80040E-04 2.55514E-04 1.70768E-04
 1.14335E-04 7.64870E-05 5.14621E-05 3.48716E-05 2.38417E-05 1.63886E-05
